language,feature_id,layer,source_keyword,explanation,match_count,unique_verse_count,avg_score,max_score,top_verse_ref
cuv,12447,21-llamascope-res-32k,feeling, references to emotional experiences and thoughts related to relief and accountability,5,5,0.664906946,0.6857257,John 16:33
cuv,30221,26-llamascope-res-32k,feeling,emotional experiences and complex feelings,5,5,0.66445961,0.67273337,John 16:33
cuv,16010,0-llamascope-res-32k,feeling, words related to emotions or states of being,5,5,0.6628072979999999,0.66737014,Jeremiah 4:13
cuv,4241,2-llamascope-res-32k,feeling, expressions of understanding and realization,5,5,0.6612421,0.66535723,Ecclesiastes 8:6
cuv,13867,21-llamascope-res-32k,feeling,various expressions and contexts of feelings and emotions,5,5,0.65823705,0.672135,2 Corinthians 2:3
cuv,19564,19-llamascope-res-32k,feeling, emotional and sensory states of being,5,5,0.655226742,0.65946096,Isaiah 50:2
cuv,22875,18-llamascope-res-32k,feeling, phrases indicating a sense of being influenced or affected by various factors or emotions,5,5,0.652267794,0.6634636,Numbers 5:30
cuv,8733,11-llamascope-res-32k,sentiment,emotional expressions and sentiments,5,5,0.6494160219999999,0.65452486,1 Peter 4:8
cuv,29168,19-llamascope-res-32k,feeling,expressions related to emotions and feelings,5,5,0.649269434,0.6727346,1 Corinthians 7:40
cuv,1800,5-llamascope-res-32k,sentiment, expressions of sentiment and emotional responses,5,5,0.6485487799999999,0.6544447,James 5:16
cuv,16773,26-llamascope-res-32k,feeling,expressions of emotions related to feeling and emotional states,5,5,0.64818522,0.6555121,Judges 15:2
cuv,1510,20-llamascope-res-32k,feeling, phrases conveying a feeling of 'sense' or 'awareness',5,5,0.648013356,0.64940745,2 Corinthians 2:4
cuv,11412,2-llamascope-res-32k,feeling,expressions related to feeling good,5,5,0.647645178,0.6586926,2 Corinthians 9:2
cuv,22916,2-llamascope-res-32k,feeling,expressions of emotional states related to feeling and emotional connections,5,5,0.647612814,0.65685916,Job 32:7
cuv,32342,22-llamascope-res-32k,feeling,expressions of emotions and feelings,5,5,0.646619728,0.6502627,2 Corinthians 2:4
cuv,20703,13-llamascope-res-32k,sentiment, expressions of emotions and sentiments,5,5,0.645056548,0.6615076,Ecclesiastes 12:12
cuv,22687,5-llamascope-res-32k,feeling," variations of the verb ""feel"" indicating emotional states",5,5,0.64501712,0.6559063,2 John 1:12
cuv,4662,21-llamascope-res-32k,feeling, expressions of emotional or physical sensations,5,5,0.6446535520000001,0.648941,2 Kings 19:7
cuv,3071,2-llamascope-res-32k,feeling,"emotions related to love, self-worth, and personal acceptance",5,5,0.6430432500000001,0.65372795,1 Peter 3:4
cuv,14094,29-llamascope-res-32k,feeling,emotional states and feelings experienced by individuals,5,5,0.6383488319999999,0.64112896,Acts 23:30
cuv,25824,17-llamascope-res-32k,feeling," expressions relating to sensation, perception, or feelings",5,5,0.638327106,0.64746463,Judges 5:9
cuv,21752,20-llamascope-res-32k,feeling,emotional expressions related to feelings and sentiments,5,5,0.6368729200000001,0.6529494,1 Corinthians 7:40
cuv,8917,19-llamascope-res-32k,feeling, expressions of feeling or emotional states,5,5,0.636711192,0.64078563,2 Peter 3:9
cuv,1041,17-llamascope-res-32k,feeling, sentiments related to music and emotional reactions,5,5,0.636137146,0.640946,Philippians 2:28
